"full_name","class","e","a","i","om","w","ma","per","moid","moid_ld","pha","H","diameter","albedo","rot_per","epoch"
"       (2021 XC3)",APO,0.5979,2.504,7.09,236.92,168.01,6.77,1.45e+03,0.0229,8.91,N,25.37,,,,2459557.5
"       (2021 XD3)",AMO,0.5281,2.235,7.74,86.93,346.44,66.31,1.22e+03,0.0738,28.7,N,24.72,,,,2461000.5
"       (2021 XE3)",APO,0.4618,1.799,2.20,88.86,9.80,221.97,881,0.00536,2.08,N,27.21,,,,2461000.5
"       (2021 XF3)",AMO,0.2494,1.366,7.27,91.17,309.44,20.98,583,0.08,31.1,N,24.94,,,,2459556.5
"       (2021 XG3)",APO,0.6476,2.877,1.77,201.07,229.89,0.68,1.78e+03,0.0361,14,N,26.23,,,,2459555.5
"       (2021 XH3)",ATE,0.1391,0.9297,4.25,268.78,32.38,270.18,327,0.027,10.5,N,25.06,,,,2461000.5
"       (2021 XJ3)",AMO,0.3786,1.657,4.42,103.50,353.92,298.35,779,0.0463,18,N,26.22,,,,2461000.5
"       (2021 XK3)",APO,0.4793,1.743,8.86,248.52,138.51,16.41,841,0.00101,0.394,N,27.22,,,,2459556.5
"       (2021 XL3)",APO,0.4780,1.877,7.79,73.30,345.40,6.13,939,0.00379,1.47,N,26.10,,,,2459557.5
"       (2021 XM3)",APO,0.1636,1.171,22.67,258.82,206.94,22.75,463,0.00937,3.65,N,23.62,,,,2461000.5
"       (2021 XN3)",APO,0.4086,1.33,12.55,71.07,290.02,242.29,560,0.00728,2.83,N,23.46,,,,2461000.5
"       (2021 XO3)",ATE,0.4836,0.7247,4.94,110.13,149.30,166.15,225,0.00702,2.73,N,24.85,,,,2459555.5
"       (2021 XP3)",ATE,0.3912,0.7952,3.01,232.07,51.10,117.91,259,0.0134,5.23,N,25.71,,,,2459554.5
"       (2021 XQ3)",APO,0.7257,2.567,4.57,93.11,264.11,10.98,1.5e+03,0.0134,5.2,N,24.71,,,,2459555.5
"       (2021 XT3)",APO,0.4570,1.831,6.75,248.98,195.53,356.20,905,0.0169,6.59,N,27.44,,,,2459554.5
"       (2021 XU3)",AMO,0.3020,1.485,29.71,79.24,316.73,92.07,661,0.115,44.6,N,21.73,,,,2461000.5
"       (2021 XV3)",APO,0.5143,2.065,1.87,216.38,199.98,4.86,1.08e+03,0.0168,6.55,N,26.11,,,,2459555.5
"       (2021 XX3)",AMO,0.5143,2.372,39.30,83.55,46.30,8.63,1.33e+03,0.277,108,N,20.26,,,,2461000.5
"       (2021 XY3)",APO,0.5953,1.76,8.03,75.19,283.92,21.18,853,0.00229,0.889,N,26.69,,,,2459558.5
"       (2021 XA4)",APO,0.4502,1.223,12.12,75.48,265.65,42.58,494,0.00983,3.82,N,26.55,,,,2459555.5
"       (2021 XC4)",APO,0.5294,1.415,0.95,69.18,277.35,32.80,615,0.0011,0.428,N,26.29,,,,2459558.5
"       (2021 XE4)",APO,0.5989,2.465,17.30,76.87,328.77,6.34,1.41e+03,0.0501,19.5,N,24.20,,,,2459555.5
"       (2021 XF4)",AMO,0.0813,1.208,10.10,100.22,338.87,347.61,485,0.13,50.8,N,24.20,,,,2461000.5
"       (2021 XG4)",APO,0.5832,1.086,5.94,76.06,126.38,306.72,413,0.0152,5.9,N,24.87,,,,2459556.5
"       (2021 XJ4)",APO,0.7262,2.22,7.01,74.71,88.25,346.27,1.21e+03,0.00707,2.75,N,27.32,,,,2459557.5
"       (2021 XK4)",APO,0.3027,1.007,10.89,71.38,254.54,74.64,369,0.00459,1.79,N,26.42,,,,2459557.5
"       (2021 XN4)",APO,0.2531,1.306,23.37,256.72,142.66,252.87,545,0.0304,11.8,N,23.84,,,,2461000.5
"       (2021 XQ4)",APO,0.5796,1.428,0.91,71.65,269.43,31.64,623,0.000907,0.353,N,26.76,,,,2459559.5
"       (2021 XR4)",APO,0.4400,1.49,6.01,258.90,242.83,333.61,664,0.00493,1.92,N,26.74,,,,2459557.5
"       (2021 XS4)",ATE,0.1896,0.9959,14.63,257.81,289.26,260.73,363,0.0313,12.2,N,25.98,,,,2461000.5
"       (2021 XT4)",APO,0.4619,1.765,4.99,74.79,34.33,349.11,856,0.009,3.5,N,28.39,,,,2459557.5
"       (2021 XV4)",APO,0.7099,2.181,1.81,257.77,262.94,345.86,1.18e+03,0.000465,0.181,N,28.64,,,,2459557.5
"       (2021 XW4)",APO,0.3022,1.414,6.59,264.71,120.29,151.98,614,0.0639,24.9,N,24.51,,,,2461000.5
"       (2021 XX4)",APO,0.5665,1.855,0.52,273.12,227.02,343.05,922,0.00212,0.826,N,28.59,,,,2459557.5
"       (2021 XY4)",APO,0.5954,1.845,7.79,72.46,292.56,18.53,915,0.00464,1.81,N,23.66,,,,2459559.5
"       (2021 XB5)",APO,0.5079,1.846,15.64,254.08,138.21,14.72,916,0.006,2.33,N,25.37,,,,2459560.5
"       (2021 XC5)",APO,0.2224,1.176,11.38,75.37,300.70,40.57,466,0.0139,5.4,N,27.05,,,,2459558.5
"       (2021 XD5)",APO,0.5081,1.459,9.31,76.79,277.08,29.94,644,0.0106,4.12,N,26.09,,,,2459557.5
"       (2021 XE5)",AMO,0.6109,2.66,0.10,55.11,9.80,329.55,1.58e+03,0.0481,18.7,N,25.46,,,,2461000.5
"       (2021 XF5)",ATE,0.3515,0.7481,3.38,260.11,344.46,242.90,236,0.00244,0.949,N,27.70,,,,2461000.5
